country,tot_case,new_case,tot_death,new_death,tot_recover,acti_case,critical,case_per_mil
China,81054,46,3261,6,72440,5353,1845,56.0
Italy,53578,0,4825,0,6072,42681,2857,886.0
Spain,28572,3076,1753,372,2125,24694,1785,611.0
USA,27137,2930,349,47,178,26610,708,82.0
Germany,23974,1610,93,9,266,23615,2,286.0
Iran,21638,1028,1685,129,7635,12318,0,258.0
France,14459,0,562,0,1587,12310,1525,222.0
S. Korea,8897,98,104,2,2909,5884,59,174.0
Switzerland,7225,362,80,0,131,7014,141,835.0
UK,5018,0,244,11,93,4681,20,74.0
Netherlands,4204,573,179,43,2,4023,354,245.0
Belgium,3401,586,75,8,263,3063,288,293.0
Austria,3302,310,16,8,9,3277,15,367.0
Norway,2251,87,7,0,6,2238,28,415.0
Sweden,1906,136,21,1,16,1869,68,189.0
Portugal,1600,320,14,2,5,1581,26,157.0
Denmark,1395,69,13,0,1,1381,42,241.0
Canada,1385,57,20,1,14,1351,1,37.0
Australia,1353,281,7,0,46,1300,2,53.0
Malaysia,1306,123,10,2,139,1157,26,40.0
Brazil,1209,31,18,0,2,1189,18,6.0
Japan,1086,32,36,0,235,815,57,9.0
Czechia,1047,52,0,0,6,1041,19,98.0
Turkey,947,0,21,0,0,926,0,11.0
Israel,945,62,1,0,37,907,20,109.0
Luxembourg,798,128,8,0,6,784,3,1275.0
Ireland,785,0,3,0,5,777,13,159.0
Pakistan,730,85,3,0,13,714,0,3.0
Diamond Princess,712,0,8,0,567,137,15,0
Chile,632,95,1,0,8,623,7,33.0
Finland,626,103,1,0,10,615,12,113.0
Thailand,599,188,1,0,44,554,7,9.0
Iceland,568,95,1,0,5,562,1,1665.0
Poland,563,27,7,2,13,543,3,15.0
Ecuador,532,0,7,0,3,522,2,30.0
Greece,530,0,13,0,19,498,18,51.0
Indonesia,514,64,48,10,29,437,0,2.0
Saudi Arabia,511,119,0,0,17,494,0,15.0
Qatar,481,0,0,0,27,454,6,167.0
Singapore,455,23,2,0,144,309,14,78.0
Romania,433,66,2,2,64,367,14,23.0
Slovenia,414,31,1,0,0,413,12,199.0
India,391,59,7,2,24,360,0,0.3
Philippines,380,73,25,6,15,340,1,3.0
Russia,367,61,1,0,16,350,0,3.0
Bahrain,332,22,2,1,149,181,4,195.0
Estonia,326,20,0,0,4,322,2,246.0
Peru,318,0,5,0,1,312,5,10.0
Hong Kong,317,43,4,0,100,213,4,42.0
Egypt,294,0,10,0,42,242,0,3.0
Mexico,251,48,2,0,4,245,1,2.0
Lebanon,248,18,4,0,8,236,4,36.0
Panama,245,0,3,0,1,241,7,57.0
South Africa,240,0,0,0,2,238,0,4.0
Croatia,235,29,1,0,5,229,5,57.0
Iraq,233,19,20,3,57,156,0,6.0
Argentina,225,67,4,0,27,194,0,5.0
Colombia,210,14,1,1,3,206,0,4.0
Dominican Republic,202,90,3,0,0,199,0,19.0
Armenia,190,30,0,0,2,188,6,64.0
Serbia,188,17,2,1,2,184,4,22.0
Kuwait,188,12,0,0,27,161,5,44.0
Bulgaria,185,22,3,0,3,179,3,27.0
Slovakia,178,0,0,0,7,171,2,33.0
San Marino,175,15,20,0,4,151,13,5158.0
Taiwan,169,16,2,0,28,139,0,7.0
UAE,153,0,2,0,38,113,2,15.0
Algeria,139,0,15,0,65,59,0,3.0
Latvia,139,15,0,0,1,138,0,74.0
Uruguay,135,25,0,0,0,135,2,39.0
Hungary,131,28,6,2,16,109,6,14.0
Lithuania,131,32,1,0,1,129,1,48.0
Costa Rica,117,0,2,0,2,113,2,23.0
North Macedonia,115,30,1,1,1,113,1,55.0
Faeroe Islands,115,23,0,0,3,112,0,2354.0
Andorra,113,25,1,1,1,111,2,1462.0
Vietnam,113,19,0,0,17,96,2,1.0
Morocco,109,13,3,0,3,103,1,3.0
Jordan,100,0,0,0,1,99,0,10.0
Bosnia and Herzegovina,94,1,1,0,2,91,1,29.0
Malta,90,17,0,0,2,88,1,204.0
Albania,89,13,2,0,2,85,2,31.0
Brunei,88,5,0,0,2,86,2,201.0
Cyprus,84,0,1,0,3,80,3,70.0
Sri Lanka,82,5,0,0,3,79,2,4.0
Moldova,80,0,1,0,1,78,3,20.0
Belarus,76,0,0,0,15,61,0,8.0
Burkina Faso,75,11,4,1,5,66,0,4.0
Tunisia,75,15,3,2,1,71,7,6.0
Venezuela,70,0,0,0,15,55,2,2.0
New Zealand,66,14,0,0,0,66,0,14.0
Azerbaijan,65,12,1,0,11,53,0,6.0
Palestine,59,6,0,0,17,42,0,12.0
Kazakhstan,58,4,0,0,0,58,0,3.0
Guadeloupe,56,0,1,0,0,55,4,140.0
Senegal,56,0,0,0,5,51,0,3.0
Oman,55,3,0,0,17,38,0,11.0
Georgia,54,5,0,0,1,53,1,14.0
Cambodia,53,0,0,0,2,51,0,3.0
Trinidad and Tobago,50,1,0,0,0,50,0,36.0
Ukraine,47,0,3,0,1,43,0,1.0
Réunion,47,0,0,0,1,46,0,52.0
Uzbekistan,43,2,0,0,0,43,0,1.0
Cameroon,40,0,0,0,2,38,0,2.0
Martinique,37,0,1,0,0,36,7,99.0
Liechtenstein,37,0,0,0,0,37,0,970.0
Afghanistan,34,10,0,0,1,33,0,0.9
Channel Islands,32,0,0,0,0,32,0,184.0
Bangladesh,27,3,2,0,3,22,0,0.2
Guam,27,12,1,1,0,26,0,160.0
Nigeria,27,5,0,0,2,25,0,0.1
Honduras,26,2,0,0,0,26,0,3.0
Bolivia,24,5,0,0,0,24,0,2.0
DRC,23,0,1,0,0,22,0,0.3
Puerto Rico,23,2,1,0,0,22,0,8.0
Paraguay,22,0,1,0,0,21,1,3.0
Cuba,21,0,1,0,0,20,0,2.0
Ghana,21,0,1,0,0,20,0,0.7
Macao,20,1,0,0,10,10,0,31.0
Jamaica,19,0,1,0,2,16,0,6.0
Guyana,18,0,1,0,0,17,0,23.0
Mauritius,18,4,1,0,0,17,0,14.0
Monaco,18,0,0,0,1,17,0,459.0
French Guiana,18,0,0,0,0,18,0,60.0
Guatemala,17,0,1,0,0,16,0,0.9
Rwanda,17,0,0,0,0,17,0,1.0
Montenegro,16,0,0,0,0,16,0,25.0
Togo,16,0,0,0,0,16,0,2.0
French Polynesia,15,0,0,0,0,15,0,53.0
Kenya,15,8,0,0,0,15,0,0.3
Barbados,14,0,0,0,0,14,0,49.0
Ivory Coast,14,0,0,0,1,13,0,0.5
Kyrgyzstan,14,0,0,0,0,14,0,2.0
Maldives,13,0,0,0,3,10,0,24.0
Tanzania,12,6,0,0,0,12,0,0.2
Ethiopia,11,2,0,0,0,11,0,0.1
Mayotte,11,0,0,0,0,11,0,40.0
Gibraltar,10,0,0,0,2,8,0,297.0
Mongolia,10,0,0,0,0,10,0,3.0
Aruba,8,3,0,0,1,7,0,75.0
Seychelles,7,0,0,0,0,7,0,71.0
Equatorial Guinea,6,0,0,0,0,6,0,4.0
U.S. Virgin Islands,6,0,0,0,0,6,0,57.0
Gabon,5,0,1,0,0,4,0,2.0
Isle of Man,5,3,0,0,0,5,0,59.0
Saint Martin,5,0,0,0,0,5,0,129.0
Suriname,5,0,0,0,0,5,0,9.0
Bahamas,4,0,0,0,0,4,0,10.0
New Caledonia,4,0,0,0,0,4,0,14.0
Eswatini,4,3,0,0,0,4,0,3.0
Cayman Islands,3,0,1,0,0,2,0,46.0
Curaçao,3,0,1,0,0,2,0,18.0
Cabo Verde,3,0,0,0,0,3,0,5.0
CAR,3,0,0,0,0,3,0,0.6
Congo,3,0,0,0,0,3,0,0.5
El Salvador,3,0,0,0,0,3,0,0.5
Liberia,3,0,0,0,0,3,0,0.6
Madagascar,3,0,0,0,0,3,0,0.1
Namibia,3,0,0,0,0,3,0,1.0
St. Barth,3,0,0,0,0,3,0,304.0
Zambia,3,1,0,0,0,3,0,0.2
Zimbabwe,3,0,0,0,0,3,0,0.2
Sudan,2,0,1,0,0,1,0,0.05
Angola,2,0,0,0,0,2,0,0.06
Benin,2,0,0,0,0,2,0,0.2
Bermuda,2,0,0,0,0,2,0,32.0
Bhutan,2,0,0,0,0,2,0,3.0
Fiji,2,0,0,0,0,2,0,2.0
Greenland,2,0,0,0,0,2,0,35.0
Guinea,2,0,0,0,0,2,0,0.2
Haiti,2,0,0,0,0,2,0,0.2
Mauritania,2,0,0,0,0,2,0,0.4
Nicaragua,2,0,0,0,0,2,0,0.3
Niger,2,1,0,0,0,2,0,0.08
Saint Lucia,2,0,0,0,0,2,0,11.0
Nepal,1,0,0,0,1,0,0,0.03
Antigua and Barbuda,1,0,0,0,0,1,0,10.0
Chad,1,0,0,0,0,1,0,0.06
Djibouti,1,0,0,0,0,1,0,1.0
Eritrea,1,0,0,0,0,1,0,0.3
Gambia,1,0,0,0,0,1,0,0.4
Vatican City,1,0,0,0,0,1,0,1248.0
Montserrat,1,0,0,0,0,1,0,200.0
Papua New Guinea,1,0,0,0,0,1,0,0.1
St. Vincent Grenadines,1,0,0,0,0,1,0,9.0
Sint Maarten,1,0,0,0,0,1,0,23.0
Somalia,1,0,0,0,0,1,0,0.06
Timor-Leste,1,0,0,0,0,1,0,0.8
Uganda,1,0,0,0,0,1,0,0.02
Total:,318953,13963,13684,677,96006,209263,10154,40.9
China,81008,41,3255,7,71740,6013,1927,56.0
Italy,53578,6557,4825,793,6072,42681,2857,886.0
Spain,25496,3925,1381,288,2125,21990,1612,545.0
USA,24207,4824,302,46,176,23729,637,73.0
Germany,22364,2516,84,16,209,22071,2,267.0
Iran,20610,966,1556,123,7635,11419,0,245.0
France,14459,1847,562,112,1587,12310,1525,222.0
S. Korea,8799,147,102,8,2612,6085,59,172.0
Switzerland,6863,1248,80,24,131,6652,141,793.0
UK,5018,1035,233,56,93,4692,20,74.0
Netherlands,3631,637,136,30,2,3493,354,212.0
Austria,2992,343,8,2,9,2975,15,332.0
Belgium,2815,558,67,30,263,2485,288,243.0
Norway,2164,205,7,0,6,2151,28,399.0
Sweden,1770,131,20,4,16,1734,71,175.0
Canada,1328,241,19,7,14,1295,1,35.0
Denmark,1326,71,13,4,1,1312,42,229.0
Portugal,1280,260,12,6,5,1263,26,126.0
Malaysia,1183,153,8,5,114,1061,26,37.0
Brazil,1178,208,18,7,2,1158,18,6.0
Australia,1072,144,7,0,46,1019,2,42.0
Japan,1054,47,36,1,215,803,55,8.0
Czechia,995,162,0,0,6,989,7,93.0
Turkey,947,277,21,12,0,926,0,11.0
Israel,883,178,1,0,36,846,15,102.0
Ireland,785,102,3,0,5,777,13,159.0
Diamond Princess,712,0,8,0,567,137,15,0
Luxembourg,670,186,8,3,6,656,3,1070.0
Pakistan,645,144,3,0,13,629,0,3.0
Chile,537,103,1,1,8,528,7,28.0
Poland,536,111,5,0,13,518,3,14.0
Ecuador,532,106,7,0,3,522,2,30.0
Greece,530,35,13,3,19,498,18,51.0
Finland,523,73,1,1,10,512,2,94.0
Qatar,481,11,0,0,27,454,6,167.0
Iceland,473,64,1,1,5,467,1,1386.0
Indonesia,450,81,38,6,20,392,0,2.0
Singapore,432,47,2,2,140,290,14,74.0
Thailand,411,89,1,0,44,366,7,6.0
Saudi Arabia,392,48,0,0,16,376,0,11.0
Slovenia,383,42,1,0,0,382,12,184.0
Romania,367,59,0,0,52,315,14,19.0
India,332,83,5,0,23,304,0,0.2
Peru,318,55,5,1,1,312,5,10.0
Bahrain,310,12,1,0,125,184,4,182.0
Philippines,307,77,19,1,13,275,1,3.0
Russia,306,53,1,0,16,289,0,2.0
Estonia,306,23,0,0,2,304,0,231.0
Egypt,294,9,10,2,42,242,0,3.0
Hong Kong,274,18,4,0,100,170,4,37.0
Panama,245,45,3,2,1,241,7,57.0
South Africa,240,38,0,0,2,238,0,4.0
Lebanon,230,53,4,0,8,218,4,34.0
Iraq,214,6,17,0,51,146,0,5.0
Croatia,206,76,1,0,5,200,0,50.0
Mexico,203,39,2,1,4,197,1,2.0
Colombia,196,51,0,0,1,195,0,4.0
Slovakia,178,41,0,0,7,171,2,33.0
Kuwait,176,17,0,0,27,149,5,41.0
Serbia,171,36,1,0,2,168,4,20.0
Bulgaria,163,36,3,0,3,157,3,23.0
San Marino,160,9,20,6,4,136,12,4715.0
Armenia,160,24,0,0,1,159,2,54.0
Argentina,158,0,4,1,3,151,0,3.0
Taiwan,153,18,2,0,28,123,0,6.0
UAE,153,13,2,0,38,113,2,15.0
Algeria,139,45,15,4,65,59,0,3.0
Latvia,124,13,0,0,1,123,0,66.0
Costa Rica,117,4,2,0,2,113,2,23.0
Dominican Republic,112,40,3,1,0,109,0,10.0
Uruguay,110,0,0,0,0,110,3,32.0
Hungary,103,18,4,0,7,92,6,11.0
Jordan,100,16,0,0,1,99,0,10.0
Lithuania,99,30,1,0,1,97,1,36.0
Morocco,96,10,3,0,3,90,1,3.0
Vietnam,94,3,0,0,17,77,2,1.0
Bosnia and Herzegovina,93,4,1,1,2,90,1,28.0
Faeroe Islands,92,12,0,0,3,89,0,1883.0
Andorra,88,13,0,0,1,87,2,1139.0
North Macedonia,85,9,0,0,1,84,1,41.0
Cyprus,84,9,1,1,3,80,3,70.0
Brunei,83,5,0,0,1,82,2,190.0
Moldova,80,14,1,0,1,78,3,20.0
Sri Lanka,77,4,0,0,3,74,2,4.0
Albania,76,6,2,0,2,72,2,26.0
Belarus,76,7,0,0,15,61,0,8.0
Malta,73,9,0,0,2,71,1,165.0
Venezuela,70,5,0,0,15,55,2,2.0
Burkina Faso,64,24,3,2,5,56,0,3.0
Tunisia,60,6,1,0,1,58,7,5.0
Guadeloupe,56,5,1,0,0,55,4,140.0
Senegal,56,9,0,0,5,51,0,3.0
Kazakhstan,54,2,0,0,0,54,0,3.0
Azerbaijan,53,9,1,0,11,41,0,5.0
Cambodia,53,2,0,0,2,51,0,3.0
Palestine,53,5,0,0,17,36,0,10.0
New Zealand,52,0,0,0,0,52,0,11.0
Oman,52,4,0,0,13,39,0,10.0
Georgia,49,5,0,0,1,48,1,12.0
Trinidad and Tobago,49,40,0,0,0,49,0,35.0
Ukraine,47,6,3,0,1,43,0,1.0
Réunion,47,9,0,0,0,47,0,52.0
Uzbekistan,41,8,0,0,0,41,0,1.0
Cameroon,40,13,0,0,2,38,0,2.0
Martinique,37,5,1,0,0,36,7,99.0
Liechtenstein,37,9,0,0,0,37,0,970.0
Channel Islands,32,20,0,0,0,32,0,184.0
Bangladesh,24,4,2,1,3,19,0,0.1
Afghanistan,24,0,0,0,1,23,0,0.6
Honduras,24,0,0,0,0,24,0,2.0
DRC,23,5,1,1,0,22,0,0.3
Paraguay,22,4,1,1,0,21,1,3.0
Nigeria,22,10,0,0,1,21,0,0.1
Cuba,21,0,1,0,0,20,0,2.0
Ghana,21,5,1,1,0,20,0,0.7
Puerto Rico,21,7,1,1,0,20,0,7.0
Jamaica,19,0,1,0,2,16,0,6.0
Macao,19,2,0,0,10,9,0,29.0
Bolivia,19,3,0,0,0,19,0,2.0
Guyana,18,3,1,0,0,17,0,23.0
Monaco,18,7,0,0,1,17,0,459.0
French Guiana,18,3,0,0,0,18,0,60.0
Guatemala,17,5,1,0,0,16,0,0.9
Rwanda,17,0,0,0,0,17,0,1.0
Montenegro,16,2,0,0,0,16,0,25.0
Togo,16,7,0,0,0,16,0,2.0
French Polynesia,15,4,0,0,0,15,0,53.0
Guam,15,1,0,0,0,15,0,89.0
Mauritius,14,2,1,1,0,13,0,11.0
Barbados,14,8,0,0,0,14,0,49.0
Ivory Coast,14,5,0,0,1,13,0,0.5
Kyrgyzstan,14,8,0,0,0,14,0,2.0
Maldives,13,0,0,0,3,10,0,24.0
Mayotte,11,4,0,0,0,11,0,40.0
Gibraltar,10,0,0,0,2,8,0,297.0
Mongolia,10,4,0,0,0,10,0,3.0
Ethiopia,9,0,0,0,0,9,0,0.08
Kenya,7,0,0,0,0,7,0,0.1
Seychelles,7,0,0,0,0,7,0,71.0
Equatorial Guinea,6,0,0,0,0,6,0,4.0
Tanzania,6,0,0,0,0,6,0,0.1
U.S. Virgin Islands,6,3,0,0,0,6,0,57.0
Gabon,5,1,1,0,0,4,0,2.0
Aruba,5,0,0,0,1,4,0,47.0
Saint Martin,5,1,0,0,0,5,0,129.0
Suriname,5,1,0,0,0,5,0,9.0
Bahamas,4,0,0,0,0,4,0,10.0
New Caledonia,4,2,0,0,0,4,0,14.0
Cayman Islands,3,0,1,0,0,2,0,46.0
Curaçao,3,0,1,0,0,2,0,18.0
Cabo Verde,3,2,0,0,0,3,0,5.0
CAR,3,0,0,0,0,3,0,0.6
Congo,3,0,0,0,0,3,0,0.5
El Salvador,3,2,0,0,0,3,0,0.5
Liberia,3,1,0,0,0,3,0,0.6
Madagascar,3,0,0,0,0,3,0,0.1
Namibia,3,0,0,0,0,3,0,1.0
St. Barth,3,0,0,0,0,3,0,304.0
Zimbabwe,3,2,0,0,0,3,0,0.2
Sudan,2,0,1,0,0,1,0,0.05
Angola,2,1,0,0,0,2,0,0.06
Benin,2,0,0,0,0,2,0,0.2
Bermuda,2,0,0,0,0,2,0,32.0
Bhutan,2,0,0,0,0,2,0,3.0
Fiji,2,1,0,0,0,2,0,2.0
Greenland,2,0,0,0,0,2,0,35.0
Guinea,2,0,0,0,0,2,0,0.2
Haiti,2,0,0,0,0,2,0,0.2
Isle of Man,2,0,0,0,0,2,0,24.0
Mauritania,2,0,0,0,0,2,0,0.4
Nicaragua,2,0,0,0,0,2,0,0.3
Saint Lucia,2,0,0,0,0,2,0,11.0
Zambia,2,0,0,0,0,2,0,0.1
Nepal,1,0,0,0,1,0,0,0.03
Antigua and Barbuda,1,0,0,0,0,1,0,10.0
Chad,1,0,0,0,0,1,0,0.06
Djibouti,1,0,0,0,0,1,0,1.0
Eritrea,1,1,0,0,0,1,0,0.3
Gambia,1,0,0,0,0,1,0,0.4
Vatican City,1,0,0,0,0,1,0,1248.0
Montserrat,1,0,0,0,0,1,0,200.0
Niger,1,0,0,0,0,1,0,0.04
Papua New Guinea,1,0,0,0,0,1,0,0.1
St. Vincent Grenadines,1,0,0,0,0,1,0,9.0
Sint Maarten,1,0,0,0,0,1,0,23.0
Somalia,1,0,0,0,0,1,0,0.06
Eswatini,1,0,0,0,0,1,0,0.9
Timor-Leste,1,1,0,0,0,1,0,0.8
Uganda,1,1,0,0,0,1,0,0.02
Total:,304990,29434,13007,1627,94800,197183,9955,39.1
